<DATE>;<TIME>;<CLOSE>
20170309;220000;52.1100000
20170309;230000;52.6200000
20170310;100000;52.3100000
20170310;110000;52.4900000
20170310;120000;52.5900000
20170310;130000;52.4100000
20170310;140000;52.4400000
20170310;150000;52.5400000
20170310;160000;52.7900000
20170310;170000;52.2400000
20170310;180000;51.7200000
20170310;190000;51.7700000
20170310;200000;51.3000000
20170310;210000;51.5700000
20170310;220000;51.2500000
20170310;230000;51.3100000
20170313;100000;51.2700000
20170313;110000;51.3200000
20170313;120000;51.3500000
20170313;130000;51.0500000
20170313;140000;51.3200000
20170313;150000;51.3700000
20170313;160000;51.3700000
20170313;170000;51.3800000
20170313;180000;51.2900000
20170313;190000;51.4800000
20170313;200000;51.3100000
20170313;210000;51.3400000
20170313;220000;51.3600000
20170313;230000;51.4300000
20170314;100000;51.3500000
20170314;110000;51.5000000
20170314;120000;51.5600000
20170314;130000;51.7900000
20170314;140000;51.1900000
20170314;150000;50.7200000
20170314;160000;50.3900000
20170314;170000;50.4700000
20170314;180000;50.8200000
20170314;190000;50.4500000
20170314;200000;50.7900000
20170314;210000;50.9200000
20170314;220000;51.1200000
20170314;230000;51.5600000
20170315;100000;51.6500000
20170315;110000;51.5500000
20170315;120000;51.6800000
20170315;130000;51.8300000
20170315;140000;51.8800000
20170315;150000;51.6700000
20170315;160000;51.5800000
20170315;170000;51.8600000
20170315;180000;51.6400000
20170315;190000;51.6300000
20170315;200000;51.4000000
20170315;210000;51.8600000
20170315;220000;51.8900000
20170315;230000;51.9700000
20170316;100000;52.4700000
20170316;110000;52.3200000
20170316;120000;52.3500000
20170316;130000;52.2100000
20170316;140000;52.2700000
20170316;150000;52.0800000
20170316;160000;51.7400000
20170316;170000;51.8500000
20170316;180000;51.8300000
20170316;190000;51.7400000
20170316;200000;51.7600000
20170316;210000;51.7000000
20170316;220000;51.7800000
20170316;230000;51.7400000
20170317;100000;51.6000000
20170317;110000;51.6900000
20170317;120000;51.9600000
20170317;130000;52.0700000
20170317;140000;51.9400000
20170317;150000;51.9800000
20170317;160000;51.9900000
20170317;170000;51.7800000
20170317;180000;51.6800000
20170317;190000;51.7500000
20170317;200000;51.7400000
20170317;210000;51.7600000
20170317;220000;51.7500000
20170317;230000;51.7500000
